Odds Range,Lose,Win,Total Bets,Probability to Win,Profit
1.07-2.07,193,219,412,0.531553398,26000
2.07-3.07,1646,956,2604,0.367127496,-690000
3.07-4.07,2659,1128,3827,0.294747844,-1531000
4.07-5.07,2820,811,3764,0.215462274,-2009000
5.07-6.07,2726,678,3625,0.187034483,-2048000
6.07-7.07,2382,447,3142,0.142266073,-1935000
7.07-8.07,2099,348,2863,0.121550821,-1751000
8.07-9.07,1877,246,2650,0.092830189,-1631000
9.07-10.07,1063,143,1555,0.091961415,-920000
10.07-11.07,1192,142,1903,0.074619023,-1050000
11.07-12.07,515,56,872,0.064220183,-459000
12.07-13.07,1307,166,2126,0.078080903,-1141000
13.07-14.07,53,5,87,0.057471264,-48000
14.07-15.07,1137,108,1950,0.055384615,-1029000
15.07-16.07,40,5,86,0.058139535,-35000
16.07-17.07,1042,74,1925,0.038441558,-968000
17.07-18.07,36,1,49,0.020408163,-35000
18.07-19.07,156,10,322,0.031055901,-146000
19.07-20.07,35,4,54,0.074074074,-31000
20.07-21.07,544,20,1182,0.016920474,-524000
21.07-22.07,16,1,31,0.032258065,-15000
22.07-23.07,128,11,269,0.040892193,-117000
23.07-24.07,22,,28,0,-22000
24.07-25.07,21,2,37,0.054054054,-19000
25.07-26.07,374,21,951,0.022082019,-353000
26.07-27.07,11,,17,0,-11000
27.07-28.07,10,,19,0,-10000
28.07-29.07,106,8,256,0.03125,-98000
29.07-30.07,14,,16,0,-14000
30.07-31.07,3,1,4,0.25,-2000
31.07-32.07,6,,7,0,-6000
32.07-33.07,9,,24,0,-9000
33.07-34.07,198,7,644,0.010869565,-191000
34.07-35.07,4,,9,0,-4000
35.07-36.07,9,,12,0,-9000
36.07-37.07,7,,8,0,-7000
37.07-38.07,7,,8,0,-7000
38.07-39.07,2,,2,0,-2000
39.07-40.07,5,,8,0,-5000
40.07-41.07,81,5,294,0.017006803,-76000
41.07-42.07,11,,14,0,-11000
42.07-43.07,6,,6,0,-6000
43.07-44.07,6,1,7,0.142857143,-5000
44.07-45.07,1,1,3,0.333333333,0
45.07-46.07,8,,11,0,-8000
46.07-47.07,1,,3,0,-1000
47.07-48.07,4,,4,0,-4000
48.07-49.07,3,,4,0,-3000
49.07-50.07,2,,7,0,-2000
50.07-51.07,56,,211,0,-56000
51.07-52.07,7,1,8,0.125,-6000
53.07-54.07,1,,1,0,-1000
55.07-56.07,5,,5,0,-5000
56.07-57.07,6,,6,0,-6000
57.07-58.07,1,,1,0,-1000
58.07-59.07,1,,2,0,-1000
59.07-60.07,1,,1,0,-1000
61.07-62.07,4,,4,0,-4000
63.07-64.07,1,,1,0,-1000
65.07-66.07,2,,5,0,-2000
66.07-67.07,31,2,126,0.015873016,-29000
69.07-70.07,4,,4,0,-4000
70.07-71.07,3,,7,0,-3000
71.07-72.07,1,,1,0,-1000
72.07-73.07,1,,1,0,-1000
73.07-74.07,2,,2,0,-2000
74.07-75.07,1,,1,0,-1000
75.07-76.07,4,,5,0,-4000
77.07-78.07,4,,4,0,-4000
79.07-80.07,1,,2,0,-1000
80.07-81.07,7,1,27,0.037037037,-6000
81.07-82.07,1,,1,0,-1000
82.07-83.07,1,,1,0,-1000
84.07-85.07,1,,1,0,-1000
85.07-86.07,1,,1,0,-1000
89.07-90.07,3,,3,0,-3000
90.07-91.07,1,,1,0,-1000
94.07-95.07,2,,2,0,-2000
98.07-99.07,2,,2,0,-2000
99.07-100.07,2,,4,0,-2000
100.07-101.07,15,2,74,0.027027027,-13000
104.07-105.07,1,,1,0,-1000
110.07-111.07,1,,1,0,-1000
113.07-114.07,1,,1,0,-1000
121.07-122.07,2,,1,0,-2000
125.07-126.07,2,,2,0,-2000
142.07-143.07,2,,1,0,-2000
143.07-144.07,2,,9,0,-2000
150.07-151.07,1,,1,0,-1000
168.07-169.07,1,,1,0,-1000
189.07-190.07,1,,2,0,-1000
265.07-266.07,1,,2,0,-1000
280.07-281.07,1,,4,0,-1000
406.07-407.07,1,,1,0,-1000
