,Name,Count
102,Todd Pletcher,18
14,Bob Baffert,13
85,Nick Zito,12
94,Steve Asmussen,11
23,Dale Romans,10
69,Kiaran McLaughlin,7
21,D. Wayne Lukas,7
16,Chad Brown,5
24,Dallas Stewart,4
45,H. Graham Motion,4
36,Doug O'Neill,3
55,Joel Rosario,3
57,John Shirreffs,3
92,Shug McGaughey,3
60,Jose Ortiz,3
79,Mike Harrington,2
84,Nicholas Zito,2
83,Mikio Matsunaga,2
32,Derek Ryan,2
44,Graham Motion,2
88,"Richard Dutrow, Jr.",2
46,Irad Ortiz Jr.,2
47,J. Keith Desormeaux,2
76,Michael Matz,2
51,Javier Castellano,2
74,Mark Casse,2
53,Jerry Hollendorfer,2
71,Larry Jones,2
87,Richard Dutrow Jr.,2
64,Ken McPeek,2
99,Tim Ritchey,2
9,Art Sherman,2
101,Todd A. Pletcher,2
15,Carl Nafzger,2
25,Dan Hendricks,2
22,Dale L. Romans,2
19,Christophe Clement,2
96,Steven M. Asmussen,2
103,Tom Albertrani,2
104,Tom Amoss,2
72,Louie J. Roussel III,1
73,Manny Azpurua	,1
89,Robert Bailes,1
100,Timothy F. Ritchey,1
70,Kiaran P. McLaughlin,1
106,William Gowan,1
107,William Kaplan,1
68,Kent Desormeaux,1
67,Kenny McPeek,1
105,Tyler Gaffalione,1
98,Tim Ice,1
75,Mark E. Casse,1
77,Michael Trombetta,1
90,Robert Frankel,1
97,Thomas Amoss,1
78,Mike De Kock,1
95,Steve Margolis,1
80,Mike Maker,1
81,Mike Matz,1
82,Mike Smith,1
93,Simon Callaghan,1
86,Ricardo Santana Jr.,1
91,Ronald Ellis,1
66,Kenneth McPeek,1
0, Art Sherman,1
54,Jimmy Jerkens,1
65,Kenneth G. McPeek,1
12,Bennie Wooley Jr.,1
29,David Carroll,1
28,Darrin Miller,1
27,Danny Peitz,1
26,Daniel Peitz,1
20,D. Wayne Lucas,1
18,Chip Woolley Jr.,1
17,Chad C. Brown,1
13,Bill Mott,1
11,"Bennie ""Chip"" Woolley Jr.",1
31,David M. Carroll,1
10,Barclay Tagg,1
8,Arnaud Delacour,1
7,Antonio Sano,1
6,Alexis Barba,1
5,Aidan O'Brien,1
4, Todd Pletcher,1
3, Steve Asmussen,1
2, Rick Violette Jr.,1
30,David Fawkes,1
33,Dominick Schettino,1
63,Kelly Breen,1
49,J. LarryÂ Jones,1
62,Kathy Ritvo,1
61,Julien Leparoux,1
59,Jose Lezcano,1
58,John Velazquez,1
56,John A. Shirreffs,1
1, Dallas Stewart,1
52,Jeff Mullins,1
50,James A. Jerkens,1
48,J. Larry Jones,1
34,Donnie K. Von Hemel,1
43,George Weaver,1
42,Gary Stute,1
41,Florent Geroux,1
40,Flavien Prat,1
39,Eddie Plesa Jr.,1
38,Drayden Van Dyke,1
37,Doug OâNeill,1
35,Doug F. O'Neill,1
108,William Mott,1
